Question Number,Context,Data,Code
2,, It gave a sense of how the companies work in real life,Process
2,,The Hackathon format created a competitive environment which inspired the team to put in work and do their best,Motivation
2,,it was fun to choose from set options,Freedom
2,,More flexibility in terms of how to approach the project and also less pressure.,Freedom
2,,I chose to go with this answer as it helps set a friendly competitive environment which helps the others push each other to perform better in the class.,Motivation
2,,"Although the project was based on the client side, the overall requirement was very vague. ",Requirements
2,,"We set our own MVP, but they could be better if there's more clear instructions on necessary features.",Communication
2,,"I felt I was able to manage the project easier, without having too many changes. ",Stress
2,,It was also nice to have all our projects graded by the client.,Panel
2,,I got a chance to see other peoples perspective on the same project.,Benefit
2,,This allowed me to learn one or two things if i were to do it again.,Benefit
2,,It was more beneficial and got to learn a lot from the process as well eventually with team and did not feel like a hassle.,Stress
2,,"I found the ""hackathon format"" less effective because we have no clue how to approach the project. ",Requirements
2,,The evaluation of the project at each step of the course was changing all the time and we could not have a set focus of the things that we should be aiming for. ,Requirements
2,,"The core of the hackathon is that the team can choose their own topic and set up it's own criteria of the goal that they should be targeted, but capstone is nowhere near this approach.",Freedom
2,,I think allowing us to decide our project scope and personal deadlines helped us to work around bugs or errors found. ,Freedom
2,,"If a client would have set definite requirements, that may have hindered our ability to learn, while also creating a more stressful environment than it already was.","Requirements, Stress"
2,,I like the idea of having clear requirements at the beginning so teams can expect what they need to do throughout the term and drive the project in their own way and ideas. ,"Freedom, Requirements"
2,,The little competition at the end helps boost the team's energy to push the project to the final.,Motivation
2,,"although the traditional way is closer to how it would be in industry and would prepare us more, i think this hackathon format somewhat made people in the same option in a common struggle so we could always ask each other for help as we all had similar issues.",Process
2,,"I feel working with a client, meeting with them every week might have been potentially better. ",Communication
2,,"Hackathons are self-led and as students, we have plenty of opportunities of doing that through competitions (both on and off campus), but working with a client and actually trying to cater to their needs would have been a more insightful experience. ",Process
2,,"Moreover, I feel that is something university students are unlikely to experience without a course set up that way.",Generic
2,,The hackathon format let us be more creativity and does not have as strict requirements which allows us to make the project the way we want it.,Freedom
2,,Had a lack of direction sometimes due to not meeting a client while still being judged by them at the end. Seems counter intuitive,"Requirements, Panel"
2,,I think it was less stressful than meeting with a client would have been.,"Stress, Communication"
2,,"I found that, in comparison to the client requirements each week, this hackathon format provided the teams and myself included the freedom to try an implementation as well as pursue that solution in our own way.",Freedom
2,," I didn't feel overly pressured to complete tasks as well, and found that overall our team performed well in this format.",Freedom
2,,I haven't experienced both hackathon format and meeting a client and working with client requirements every week. ,Requirements
2,,I would probably get a straight answer if I have done both things at least once.,Generic
2,,This hackathon format was fine since we were given a theme and worked with what we can do with it.,"Requirements, Freedom"
2,,"Well I've only experienced the hackathon format, so I don't really have a way to gauge that. ",Generic
2,,"Working with client requirements every week sounds like it would have been harder to deal with for the course, but also sounds like it would have been good for keeping our group on track.","Communication, Motivation"
2,,"I was really looking forward to this course giving me experience communicating with an actual company, learning how to balance client requirements with team capabilities, and getting to experience what an actual professional workflow might feel like.",Process
2,,"Instead, the course ended up just being one big CS project that I've already done countless times in other courses, and so it didn't feel like I actually learned the skills I was hoping to in this course.",Process
2,,I don't like how open ended the requirements were. ,Requirements
2,,I prefer to have clear requirements to get the work done,Requirements
2,,The capstone project based on the hackathon format enables me more opportunities to design and implement my own Video Streaming Website with various functions.,Freedom
2,,"I probably would have preferred to work more closely with a client throughout, but already had an extremely busy 8 months outside of school, so this worked nicely for me.","Process, Freedom"
2,,"I think for our project specifically, it was kind of 50/50 but ultimately proved to be more of a challenge. ",Process
2,,I think having ready made assets and knowing what was really needed would cut down on the time taken deciding features and get straight to working.,"Requirements, Process"
2,, But I did like the liberty of doing what we thought was good for our project. ,Freedom
2,,"However, having a little bit more guidance would've been a little better.",Requirements
2,,I think having meetings with client is important,Communication
2,,I think this is good for us to develop the website.,Generic
2,,"I think this allowed some teams to have more freedom in the development of the program without having someone hacking every move, and basically having multiple teams have the same project. ","Freedom, Process"
2,,"This way even if the teams did the same option, project can be very different","Freedom, Process"
2,,I think that not having as much interaction allowed us to naturally adjust what we needed to work on and not be forced to every week to adjust our priorities. ,Requirements
2,,"However, it would have been easier if we were able to clarify some requirements with the client as we worked. ",Requirements
2,,Maybe a little bit more interaction but not every week would be best.,Requirements
2,,I think this is a good format to allow more flexibility on our side and let some of us practice managing a project in terms of work done and time commitment. ,"Freedom, Process"
2,,"I think it would also be a lot more stressful, and maybe more unrealistic in terms of deadlines, if we are working with a client and they expect a bit more from us than what we actually have time for (considering it's not a full time job and there's also other courses with their own assignment and projects to be done.)","Stress, Requirements, Process"
2,,I did not like any of the project options.,Generic
2,," Given the variables of having a client and project flexibility, this class chose the worst possible combination.","Freedom, Process"
2,," If we had had a real client, but not been able to choose the project, I would have been happy because there would have been incentive to make a real-world project work. ","Process, Motivation, Freedom"
2,,"Likewise, I would have been happy with no client but complete freedom. ",Freedom
2,,"In both examples, I would have been far more motivated to do a good job. ",Motivation
2,Negative,"Having a minimal client and limited freedom had a very negative impact on my team's motivation, leading to a lower quality end product.","Freedom, Process, Communication"
2,,"I heard from peers from prior years that working directly with individual clients can be very invasive and challenging, especially with other coursework to do.","Process, Stress"
2,, I also like the idea that we had unified sense of what the other teams were supposed to do (mostly),Motivation
2,,I feel like it left significantly more time to work on the project and plan what was needed. ,Process
2,,"We were able to make an initial plan based on the ""theme"", and then modify it to be within the scope and the feedback the client gave in December.",Requirements
2,,It gives you more freedom regarding what you can add to your project rather than just using the client requirements every week.,Freedom
2,,I would prefer to have directed feedback rather than the periodic general feedback. ,Communication
2,,Having a more involved client would give the project more of an 'in the field' feel.,Process
2,,"Yes, I liked this as I had friends who took this course before this year and had difficulty completing the project while having to manage the expectations of the client.","Requirements, Freedom"
2,,"Although it did have significant merits and has a lot of potential, the hackathon format made the experience of Capstone feel like another standard (but long term) University project. ",Process
2,,"We essentially were entirely disconnected from the people who would judge the project at the end, and it often felt like the vision and requirements of the professor and TA's were misaligned with what the client was asking for and would judge us on. ","Panel, Requirements"
2,,"I felt further distanced by the fact that the lion's share of my work and grade was determined by TA's by way of the weekly logs, which were often redundant and tedious to write.",Grading
2,, I felt like that time spent working on the logs would have been better spent on properly maintaining the Github Project board and having the TA evaluate our work through those specially made project management tools instead of logs which mostly pointed to information already available there and in the repo. ,Grading
2,,"Additionally, I felt like the ""feature every 2 weeks"" model was often more ambiguous and restrictive than not. ","Requirements, Freedom"
2,,"Some work was counted as a feature, some wasn't, and I didn't feel like whether it counted or not was related to the actualy need for that work in the project. ",Requirements
2,,"I would have rather spent more properly testing and polishing a smaller number of core features and dealing with issues as they came rather than having to do all of that and also find something new to make that counted as a ""feature"" but did not add to the project's core goals. ",Requirements
2,,"I do not feel like this was a representative experience of what working in the industry will be like and what I might want to do in it, which I originally felt was the objective of Capstone. ",Process
2,,"However, something that was quite positive about this format was the ability to chose what project we wanted to work on, and I would have loved if the project prompts were even more open ended and allowed for more creative ideas.",Freedom
2,,"This format does have potential and merit over the old system, and I would like to see it grow in a direction which prioritized a genuine creative engineering experience for students. ",Process
2,,"I commend the university for trying something new with Capstone and listening to students about what didn't work before, it is felt and appreciated.",Process
2,,My opinion is yes to no preference.,Generic
2,, It is hard to say that it is better than previous capstone classes as I don't have much knowledge about them but this year's capstone did feel pretty good with the amount of client interaction. ,Communication
2,,I think it was good to separate the client from the students as many students are still at a university level of understanding of software development and Professors and TAs have a better understanding of student abilities than clients in industry do.,Communication
2,,It made the capstone project feel more competitive and industry standard work was produced over all teams.,"Process, Motivation"
2,,"i feel this method allows students more creative control, rather than a client telling them what to do. ","Freedom, Benefit"
2,,"plus, it may be hard dealing with clients (even though we are probably going to face situations like that in the future).",Communication
2,,"It is hard to give an honest answer considering I only experienced the course one of the two ways, but from what I heard the pressure the clients put on students when they were more involved wasn't fair and I didn't have that experience with the hackathon style.",Stress
2,,I liked the format because it allowed me to build a project which I wanted to work on. ,Freedom
2,,"Working on a project I wanted to work on meant that I cared about the project far more, which caused me to take the course more seriously.","Freedom, Benefit"
2,,While I did really enjoy the format that the capstone was in this semester I still believe it could be extremely useful for my peers and I to get the full client experience so we have a better understanding of what the work force will actually be like.,Process
2,,However this is not a criticism of the style it was in this year as I have not experienced the client focused format and truly don't know which one I would prefer.,Process
2,Positive response,Working within a theme rage may give us a more clear instruction to do,"Requirements, Freedom"
2,,I feel like the hackathon format provided a little more flexibility for students when working on the capstone projects whereas having a set of client requirements every week especially for any student who has a full time course load probably would have been a lot more stressful.,"Stress, Freedom"
2,,I think that system is better. ,Generic
2,,"I think working with client requirements every week would make everything more complicated, changing and unclear requirements would make project planning more difficult. ",Requirements
2,,This way I think students can focus more on building their system than on meeting client requirements.,Requirements
2,,Its a better choice since  the client has already outlined their expectations and provided necessary resources upfront. ,"Process, Requirements"
2,,This can streamline the process and potentially reduce the need for frequent changes. ,Requirements
2,,The requirement can varies if we meet client and working with them every week based on what we bring up every week.,Requirements
2,," Depending on what is discussed each week, the project requirements may fluctuate, potentially leading to more frequent changes and iterations throughout the project timeline.",Requirements
2,,It's because we as students can express our creativity and make something that we like thus making us put in more effort in research and coding our project theme.,"Freedom, Motivation"
2,,"Having done the video game option, I think it's less of a product that could be requested by a client, which is nice because it gave me the opportunity to to work on an area of the industry that I wouldn't have otherwise done during my degree. ","Freedom, Benefit"
2,,I also appreciated having a lot of creative freedom.,Freedom
2,,I liked the hackathon format more rather than sitting with a client and work on requirements on a weekly basis as it was upto us as a team to add features and decide how the project will be based on a theme. ,"Process, Requirements"
2,,This gave us a chance to know our own limitations and to see how much can we do as a team for our project. ,Generic
2,,"If we had a client and we got a task for each week which is not plausible with our team's skill level or any other reason it gets very hard to complete that requirement because the client just wants the work, they don't care much about how the team functions and everyone's skill level.","Process, Requirements"
2,, Plus all team members have other courses as well and we had to balance our own time and tasks accordingly.,Stress
2,,I believe that the industry connections made through working directly with a client would have been really valuable. ,Communication
2,,"I've talked to students who took capstone last summer, and one of them has been offered a job at the company they completed their capstone project for.",Benefit
2,,"While meeting with a client every week is a valuable experience, it can be frustrating and may limit the potential of the project due to client expectations, requirements, or knowledge. ",Requirements
2,,"The more open format allowed more space to lead the project in a direction that increased the learning potential of the project, especially since the web dev courses at the school are lacking.",Freedom
2,,It gave (the students) to harness our creative potential and build something that we wanted.,Freedom
2,, We had the freedom of design and functionality. ,Freedom
2,,The client gave us a target and it was up to us to meet it as we see fit.,"Requirements, Freedom"
2,," This may not play out in industry, but provides a great starting but to flesh out our skillset.",Process
2,,The reason I chose yes for liking this course format is because it gave us students more time to host a meeting within our project group members rather than meeting the client every week and going to meet at some places outside of school. ,Freedom
2,,Hosting more meetings within our group will enhance our communication and help each other in the project work process. ,Requirements
2,,This format can give us students a clear topic of our project rather than a blurry topic from the client which changes every week. ,Requirements
2,,I would recommend continuing to use this format next year.,Process
2,,The hackathon theme did sound fun but it turned out rather a bad idea:  ,Process
2,,Work wasted: The project description was rather vague and unfortunately didn't capture what the client really wanted.,Requirements
2,," I supposed there was miscommunication; however, it could have been solved by the client describing it to us. ",Requirements
2,,"Our initial project proposal was accepted but feedback from the client after seeing the prototype was mostly not favorable, causing us to do a major overhaul of the system architecture. ",Requirements
2,,We wonder whether the client really had the chance to look at the proposal at all. ,Requirements
2,,"Either case, a regular meeting with the client would help solve such an issue.",Communication
2,," An clear goal: The project idea is interesting and the infrastructure is generous, but what is the project really for. ",Requirements
2,Cont. from 1 up,What are the goals of the client in bringing about this project? ,Requirements
2,Cont. from 2 up,There is a already an existing one so why are we doing it again?,Requirements
2,Cont. from 3 up, That was never communicated to us.,Generic
2,,"I liked this format as it allowed for general flexibility and a lower stress format, could focus just on development. ","Freedom, Stress"
2,,The drawback to me is that it is a great time to experience working with clients before doing so regularly in the real world. ,Process
2,,I think a little more feedback/involvement would have been a good balance.,Communication
2,,I like competing with other teams and see their perspectives,Motivation
2,,i heard in previous years when working with client they expected too much from students as if it was their full time job even though we are students with other classes,Process
2,,Hard to say given I haven't experienced the latter method. ,Generic
2,,"I certainly would have preferred if we were told early on that our design choice for a video processing API server was 'incorrect', which may have happened if we had kept a closer contact with the clients. ",Requirements
2,,"As it stands, we spent a substantial amount of time building out the server, giving it many important features based on the fact that our project proposal was accepted (and, in fact, we received a 100% on it). ",Requirements
2,,"However, come end of term 1, we were told we had to completely redesign our video processing data flow to use AWS Lambdas, which we were not told initially was a design requirement nor were we penalized for in our project proposal for not including.",Requirements
2,, Perhaps a middle ground where the client is also involved with the project proposal at the very minimum would prevent things like this from occurring where weeks upon weeks of work is simply wasted and scrapped.,Process
2,,"Have no idea about the other format, but I think this year we as a team is more free on making plans for features",Freedom
2,,I think communicating with a client is valuable. ,Communication
2,,Both for the experience working with a client and to help us create a better product.,"Motivation, Requirements"
2,,I enjoyed the format and found that there was more freedom when it came to what features you wanted to implement.,Freedom
2,,It gave us more freedom in completing the project,Freedom
2,,I did like the freedom to choose what we wanted.,Freedom
2,,I found the free-form hackathon format very useful for giving me a direction and allowing me to then work at my own pace with my own goals.,Freedom
2,,"While I think meeting with the client weekly can be nice for feedback, generally, it feels like there would be a lot of wasted time. ",Communication
2,,"As well as this hackathon format added a bit of competition, which made it feel more rewarding if you did well. ",Motivation
2,Cont. from 1 up,Something extra to strive for.,Benefit
2,,It allows for more creativity and autonomy while still providing a clear goal and expectations.,"Freedom, Requirements"
2,,"The capstone is already a huge project, and meeting with clients every week and incorporating new feedback would have made it very overwhelming.","Stress, Requirements "
2,,This allowed more freedom to create a project that looked more like the idea we had and hearing the previous experiences of the capstone I feel like this is the better format.,Freedom
2,,I liked the we were allowed to do our own thing and build our own structure of what we wanted. ,Freedom
2,,I also noticed the variability between groups which im sure would not of happened if we all had to meet with clients every week,Benefit
2,,"I feel like the project/programming requirements were quite vague and unintuitive, especially since many of us are unfamiliar with AWS. ",Requirements
2,,"Also not being able to meet with the client regularly prevents most attempts at networking and potentially gaining a type of ""work experience"" that is absolutely critical for new grads to try and obtain.","Communication, Process"
3,,"Yes, I would have preferred to have regular meetings with the client.",Communication
3,,I would have enjoyed the concept of coming up with our own project idea.,Freedom
3,,I think the current level of interaction was good enough. ,Communication
3,,A written description of the requirements or expectations would have been a little more useful,Requirements
3,,"It would have been nice to have more accessibility to the client, as we often had questions regarding AWS account settings that could have been resolved if we were able to speak to them.","Requirements, Support"
3,,No,Generic
3,,I think the current format is good enough,Process
3,,"I would of liked to meet with the client with my group literally just once before the first client panel review thing in December, just to go over what our plans were and how things where going to work. ",Requirements
3,,"I found it very weird in December when they rated the projects from each option, because it seemed like they had only watched the design video demo in order to understand the project, and that video was more about the way we had been designing the project, not so much a direct demo of all the project's features. ","Requirements, Process"
3,,"It for sure seemed like our client didn't actually know how our game was supposed to play, and I definitely wasn't trying to sell the game in the design video, so I think if we could have met with them just once before either judging class, we could have cleared things up. ",Requirements
3,,"I don't think we needed to meet anymore than that though, because we were busy enough without meeting them at all.",Stress
3,," Lastly, I think having the client coming up with the project is actually the best way to do it, in hindsight. ","Process, Freedom"
3,,"We did the game which didn't have a client to begin with, and I am incredibly happy to have been able to do a game (I want to go into game development, and I haven't really done any game development at this school), but its requirements were definitely too broad, and our group bit off more than we could chew because of it. ","Process, Requirements, Communication"
3,,"If we had picked the other options that had clients, I think we might have been able to get a bit more work done quicker--it took a while in the beginning to figure out exactly what we were going to do.",Requirements
3,,I think having a pre-planned project is good since there is more sense of competitiveness with other teams.,Motivation
3,," But I would like to be able to have more communications with the clients to get the right requirements before starting to work, and update our progress so they can give advice, as well as feedback.","Requirements, Communication"
3,,I would have liked a more direct way to communicate with the clients and maybe a meeting every few weeks with them.,Communication
3,,"I think it would be nice to have some more options to engage and interact with the client, perhaps way to ask them for feedback or clarification. ",Communication
3,,"Ultimately, I think more support with the services we had to use (AWS) would have been useful.",Support 
3,,I would have liked to interact with the client. ,Communication
3,,I heard there were conflicts between the team and the clients last year but I believe this is still apart of the learning experience. ,Generic
3,,Capstone to me is a simulation for a real job and it would have an experience whether it maybe good or bad.,Process
3,prev. form question,Refer to above.,Generic
3,,"Having meetings with client weekly or bi-weekly would have been better as this would help us interact with the client, build a professional relationship with them as this would have helped us in getting to know the clients requirements and expectations better.",Requirements
3,,I think it was better the way we did it . ,Generic
3,,"If there was more interaction with the client , there could have been a possibility where we would have to do more work than required",Requirements
3,,"Yes, while the format was good, I would have preferred to meet more than we did with the client and understand the needs better",Requirements
3,,yes,Generic
3,,I would have liked to have the functional requirements list from the client.,"Requirements, Support"
3,Cont. from 1 above, No such document was provided from the client. ,Support 
3,,"We didn't know ""video requests"" was a functional requirement until after the design milestone feedback. ","Requirements, Support"
3,,Coming up with own project is a really cool idea and can help students learn the most recent tech stack that's in demand on the job market.,"Freedom, Process"
3,,It would be good to have a client as it help prepare students for the real world and understanding industry standards to their best.,"Communication, Process"
3,,"Yes, we needed client feedback more often. ",Communication
3,,"Since we didn't know the client only cared about UI&UX designs, we wasted so much time for restructuring the entre code.",Requirements
3,,"I would have to meet the client on demand, perhaps two more times over the semester.",Communication
3,,meeting with them once a month to show them our progress would help.,Communication
3,,"No, i feel this format was perfectly made and as required and needed by students for fruitful feedback in order to understand the response in a better way.","Process, Requirements"
3,,It would be better to interact with the client based on the nature of the project setup.,Communication
3,," If the projects are predefined by the client, regular meetings should be scheduled to ensure that the development aligns closely with the client's expectations and requirements. ",Requirements
3,,"Conversely, if the project allows for self-selection or creation, it would be beneficial to operate independently without a designated client.",Freedom
3,,"Yes, I would have liked to.",Generic
3,Cont. from 1 above, It would have been possible to get feedback and constructive criticism from them.,Communication
3,," Additionally, we would have had a platform to justify our reasoning for certain choices to them.",Requirements
3,," Lastly, the clients actually seeing the effort we put into it might have a positive impact on us job-wise.",Process
3,,"Although I like the idea of not meeting clients weekly, I think that meetings with clients to discuss the requirements and check the team's progress are still necessary (maybe once every month). ",Communication
3,Cont. from 1 above,This helps prevent the team from taking the wrong direction (not on the same page with the client). ,Requirements
3,,"Also, teams can fix problems at an early stage if they get feedback more frequently from the client.",Requirements
3,,"i would have preferred more client interaction, perhaps once a month with the hackathon style",Communication
3,,Yes.,Generic
3,, I would have prefered weekly or biweekly meetings with the client to get a better understanding of what they are looking for. ,Communication
3,Cont. from 1 above,This would give us the chance to correct and develop features they value more highly than others. ,Requirements
3,,"Since they are in the industry, they would know things we as students don't (or sometimes can't even think of), and working with them would have been a great learning experience, beyond just computer science.",Support 
3,,Remove the client entirely.,Process
3,," I saw no point in having them, especially if the requirements dictated by the class outweigh what they want",Requirements
3,,"It might have been nicer to have more access to the client, being able to email them maybe?",Communication
3,,I think possibly getting a little more face-to-face or contact with the client would have been nice. ,Communication
3,,"While I did like the format of meeting the client once for judging/feedback, there were some moments where I would have liked to meet with the client to potentially get some more direction or answers on our AWS accounts and related services. ","Panel, Support"
3,,"In all honesty, being told to ""try AWS services"" was a somewhat frustrating and potentially annoying way to learn, even if we did end up learning.",Stress
3,,I think it would be better if the client would give us maybe a biweekly update on what he wants in the project.,Requirements
3,," I felt like it was pretty difficult trying to find a feature to do when we don't know what to expect the client wanted us to do, but then again, this was a good learning experience.",Requirements
3,,"I understand the decision to move away from having so much client influence on each project, and I think it's a fairly good decision, but I do think that it feels like maybe a little bit too hands off?","Requirements, Process"
3,," I think if we had maybe a little more frequent feedback, it would have been helpful.",Communication
3,,Yes.,Generic
3,," For starters, the project should not have been so open-ended. ",Process
3,,"The purpose of Capstone (from my understanding prior to this course) is to give students the chance to experience what a real-world project flow may be like, but this is lost when you allow students complete freedom to design whatever they want. ",Process
3,,"Additionally, there should have been MUCH more frequent meetings with the client to discuss not only current progress and to better understand what the client wants to see, but also to give students experience directly interacting with employers in a professional environment. ","Process, Requirements"
3,,"I did not find at any point throughout the course that my ""project management"" skills had improved in a way that I couldn't have gotten in any other course with a group project. ",Process
3,,"Finally, I don't agree with having multiple groups work on the same project, and then only one gets used.",Process
3,," I saw this (not only in my group, but others as well) drastically throttle many peoples motivation because if the project isn't even going to be used, it's no different from any other computer science assignment. ",Process
3,,"Overall, my core complaint is that at no point did this course really ""feel"" like I had expected a Capstone course to feel, and instead felt like a generic group project you could find in most comp sci courses.",Process
3,,I prefer a client who has a clear idea of what they want and meet regularly but not often to discuss the progress,Requirements
3,,"I like to interact with my clients in this way since there's no one to push me to complete certain tasks weekly, and I can also contact the clients on demand.",Communication
3,,"I would have rather had more strict needs and requirements from a client, but I also know that's a bit idealistic and comes with its own problems.",Requirements
3,,I think more client interaction would have been better for our project specifically.,Requirements
3,, As our client wasn't really an invested client but more of a volunteer reviewer it would have been nice to have a clients perspective that's readily accessible.,"Requirements, Communication"
3,,One on one meeting to ensure that client requirements are being taken care of,Requirements
3,,I think this mode is okay. So I would not.,Generic
3,,I will consist with this.,Generic
3,,I think it was okay to have someone from outside checking the development without being too intrusive in the process,Requirements
3,,It was nice to have an idea provided for us.,"Requirements, Freedom"
3,, Being able to ask the client clarifying questions or get approval for certain interpretations would have been helpful.,Requirements
3,,I think the client panel is a little bit not helpful for us? we didn't really get anything from it and it takes up valuable time. ,Panel
3,,And we also can't really get any valuable feedback while developing the majority of the website since the only time we get feedback is only at the end of the first term where basically nothing is there and nothing is done.,Requirements
3,," It is also why I think the client grading is a bit arbitrary, despite us meeting what we said we would do, we still get a pretty bad mark for it. ","Grading, Requirements"
3,,"If we are required to meet certain criterias at a certain time, I think the client would need to put in more resource in helping us achieve that goal, rather than having nothing to offer when we asked questions about the project. ",Requirements
3,,(We asked about setting up the databases on AWS and were provided no help and had to figure it out the hard way),Support 
3,,"As stated in my previous answer, both complete freedom and more client intervention/accountability would have been much better than the middle-of-the-road approach taken. ","Process, Communication"
3,,"If I had to choose one, I would have chosen creating a real product for a real client with real stakes and real consequences.",Process
3,,I think more client check-ins would have been better.,Communication
3,," We had steered our project in a certain direction by December, but the client was very unhappy with our architecture and gave very little feedback as to why.",Requirements
3,, Even the ability for us to speak with them and ask our own questions would have been better. ,Requirements
3,,The general feeling was that the prompt at the beginning of the course was unclear compared to what they wanted.,Requirements
3,,"I think it would be cool to come up with your own projects, but likely impractical in a course this large.",Freedom
3,,"I like how the format was set, but it might be better to interact with the client a bit more in terms of getting feedback.",Communication
3,,"Other than an increased amount of direct feedback from the client, I think the format generally worked - having a project assigned with specific technical requirements was very useful in giving a direction.",Requirements
3,,I think being able to talk to the client more often in the early stages of the project would have been nice.,Communication
3,, Like maybe after the first design milestone so that we can have pointers on how we should implement our ideas,"Requirements, Freedom"
3,,"I think this format would be much improved by having more opportunities for feedback with the client, like a monthly meeting or something of the like. ",Communication
3,,"I think the ideal format for me would be coming up with our own project idea, but having access to the client as a ""champion"" to guide us through the process. ","Freedom, Communication"
3,,"I think the best way to get value our of a client would be for them to assume a mentorship or ""guru"" role as we develop the project on our own. ",Communication
3,,One way I imagine this would be to have a timeframe at the begining of the project to sit down with the supervisor and client and come up with a good use case and project idea. ,Requirements
3,,"After that, it would be great to have an ""in-demand"" or ""as you go"" approach to talking and meeting with the client, with regular feedback from the supervisor. ",Communication
3,,I could see this providing students with the opportunity to get close to a client and really be open about their creative and problem solving skills.,"Requirements, Communication"
3,,I think the level of client interaction was sufficient.,Communication
3,, I know personally I would have struggled to come up with a project and it was decent to have the judging period and client feedback at the end of term one.,"Panel, Communication, Freedom"
3,, It definitely isn't anywhere near how industry is but it was a nice enough introduction without being too overwhelming.,Process
3,,Yes. ,Generic
3,,I would've liked to interacted with the client at least twice a semester to get their feedback.,Communication
3,,maybe meet the client once or twice during the semester,Communication
3,,I like the way the course was formatted. ,Process
3,,"The option to make your own project was kind of available this year too, but most people wanted the chance to use AWS, which wouldn't have been possible without client funding.","Freedom, Process"
3,,"No, I liked the amount of client interactions as is.",Communication
3,,"While our group chose the game option which did not have a client I do believe it would have been nice to have one, even if they were a mock client. ","Process, Freedom"
3,Cont. from 1 above,However due to us picking the option that was not planned to be included in the class until the third week (if I remember correctly) I can not really criticize not having a client.,"Freedom, Process"
3,,"I like the mode that other group members come to our session and try our website, which lets us find our problems easier because we work in the same theme",Benefit
3,,I think the way the client interaction has been set up for this term is good. ,Communication
3,,"However, for teams to come with their own projects could also be an interesting idea.",Freedom
3,,Doesn't make much of a difference to me.,Generic
3,,Maybe others would.,Generic
3,,I don't really have preference whether i want to work on the project with the client or work on the project based on based on our preference. ,Process
3,,"For the project with client, we don't have to plan since the requirements and expectations are all set so there is not that much of a flexibility whereas for the project based on our preference, we have to plan a lot on what we want to work on since there is no guideline but there is a good amount of flexibility.","Freedom, Requirements "
3,,"Since our project has no client, It would be nice if we can regularly contact ""mock client"" to get their expertise feedback on our features.",Requirements
3,,Game option didn't really have a client so its hard to say. ,Communication
3,,I do however think having real clients is a big motivator for students to delve into new areas in computer science.,Motivation
3,,I would have liked to interact with my client a little bit more throughout the term. ,Communication
3,,"As in see them more often and receive feedback on what they think, rather than just giving feedback at the end of the term.","Requirements, Communication"
3,, More frequent client meet up will help the client in recognizing the technologies used in the project and it's complexities. ,Requirements
3,Cont. from 1 above,Because they just see the product at the end of each term and base it on how it looks and not its functionality which went to get it working.,Requirements
3,,It would have been nice to have more direct mentoring from the client.,Communication
3,," In the AWS video streaming project specifically, it seemed like the client had strong preferences for the tech stack that were not shared with the teams at the beginning of the project.","Support, Requirements "
3,,No.,Generic
